Type,Name,Website,,Sector,Location,Funding,Comment,Twitter,lat,lng
,BizzInn Business Incubator,https://www.birmingham.ac.uk/partners/enterprise/businesssupport.aspx/,* [BizzInn Business Incubator](https://www.birmingham.ac.uk/partners/enterprise/businesssupport.aspx/),startup business all type,Edgbaston Birmingham B15 2TT,contact on web page,,,52.45313,-1.92807
,BU Student Incubation Centre (BUSI),https://www.hugedomains.com/domain_profile.cfm?d=bucfe&e=com,* [BU Student Incubation Centre (BUSI)](https://www.hugedomains.com/domain_profile.cfm?d=bucfe&e=com),all business type,Bournemouth University; Fern Barrow; Poole; Dorset; BH12 5BB; United Kingdom,enquiries@bournemouth.ac.uk,,,50.74317,-1.89862
,Haatch,https://haatch.com/,* [Haatch](https://haatch.com/),startup business all type,The Hub; Blackfriars Street; Stamford; Lincolnshire; PE9 2BW.,contact on web page,,,52.65161,-0.47506
,Henley Start-up Business Incubator,https://www.escapethecity.org/organisation/henley-start-up-business-incubator,* [Henley Start-up Business Incubator](https://www.escapethecity.org/organisation/henley-start-up-business-incubator),startup business all type,Platf9rm;Hove Town Hall;Hove;BN3 2AF,contact on web page,,,50.82771,-0.17054
,Live Lab,https://www.livelab.co.uk/,* [Live Lab](https://www.livelab.co.uk/),agriculture,Manton Rd; Brooke;LE15 8DF,info@livelab.co.uk,,,52.63455,-0.74309
,Stockport Business & Innovation Centre,https://www.stockport-bic.co.uk/,* [Stockport Business & Innovation Centre](https://www.stockport-bic.co.uk/),SME,Stockport Business & Innovation Centre;Broadstone Mill;Stockport; SK5 7DL,info@stockport-bic.co.uk,,,53.4345,-2.16472
,The Enterprise Network,https://www.theenterprisenetwork.co.uk/,* [The Enterprise Network](https://www.theenterprisenetwork.co.uk/),,The Enterprise Network; Castledown Business Park; Ludgershall; Wiltshire. SP11 9FA ,info@theenterprisenetwork.co.uk,,,51.25459,-1.62899
,Warwick Ventures Software Incubator,https://warwick.ac.uk/services/innovations/softwareincubator,* [Warwick Ventures Software Incubator](https://warwick.ac.uk/services/innovations/softwareincubator),fintech,Warwick Innovations Junction Building The University of Warwick Coventry CV4 7AL, ventures@warwick.ac.uk,,,52.38604,-1.56491
,Centre for Digital Innovation (C4DI),http://www.c4di.co.uk/,* [Centre for Digital Innovation (C4DI)](http://www.c4di.co.uk/),startup business all type,31-38 QUEEN STREET; HULL; HU1 1UU,info@c4di.net,,,53.73889,-0.33329
,Innospace,http://www.innospace.co.uk/,* [Innospace](http://www.innospace.co.uk/),startup business all type,Turing House; 5 Archway; Manchester M15 5RL,contact on web page,,,53.46427,-2.24751
,MedBIC,https://aru.ac.uk/arise,* [MedBIC](https://aru.ac.uk/arise),,Alan Cherry Dr; Chelmsford CM1 1SQ,ariseinnovation@aru.ac.uk,,,51.7428932,0.47209193
,Momentum Business Incubator,http://www.worcesterenterprise.org/incubator-support-package/,* [Momentum Business Incubator](http://www.worcesterenterprise.org/incubator-support-package/),business;sport & creative,Worcester Business School University of Worcester; City Campus; Castle St; Worcester WR1 3AS,enterprise@worc.ac.uk,,,52.19589,-2.22627
,NoWFOOD Centre,https://www1.chester.ac.uk/business-growth/nowfood,* [NoWFOOD Centre](https://www1.chester.ac.uk/business-growth/nowfood),F& B,University of Chester Parkgate Road Chester CH1 4BJ,enquiries@chester.ac.uk,,,53.20889,-2.90633
,One St. Aldates,https://www.onestaldates.co.uk/,* [One St. Aldates](https://www.onestaldates.co.uk/),Fintech,One St Aldates;St Aldates;Oxford;OX1 1DE,info@onestaldates.co.uk <info@onestaldates.co.uk>;,,,51.75178,-1.25757
,SPACE at Hoo Farm,http://www.wyreforestspace.co.uk/space-at-hoo-farm.aspx,* [SPACE at Hoo Farm](http://www.wyreforestspace.co.uk/space-at-hoo-farm.aspx),,Wyre Forest District Council Wyre Forest House Finepoint Way Kidderminster Worcestershire DY11 7WF,property@wyreforestdc.gov.uk,,,52.36026,-2.26914
,UHatch,https://www.gcu.ac.uk/uhatch/,* [UHatch](https://www.gcu.ac.uk/uhatch/),research studies,Glasgow Caledonian University Cowcaddens Road Glasgow G4 0BA,alumni@gcu.ac.uk,,,55.86791,-4.2507
,Digital Exchange,NA,* [Digital Exchange](NA),NA,34 Peckover St; Bradford BD1 5BD,,,,53.7949894,-1.7459163
,Fareham Innovation Centre,https://www.fareham-ic.co.uk/,* [Fareham Innovation Centre](https://www.fareham-ic.co.uk/),Marine Science & Engineering,Fareham Innovation Centre; Merlin House;4 Meteor Way;Lee-On-The-Solent;PO13 9FU,info@fareham-ic.co.uk,,,50.81245,-1.19423
,High Growth Centre,https://www1.chester.ac.uk/business-growth/thornton-science-park,* [High Growth Centre](https://www1.chester.ac.uk/business-growth/thornton-science-park),Bio Science,University of Chester Parkgate Road Chester CH1 4BJ,enquiries@chester.ac.uk,,,53.20889,-2.90633
,Ideas Factory Incubation Centre,https://www.nua.ac.uk/for-business/incubation-centre-facility-hire/,* [Ideas Factory Incubation Centre](https://www.nua.ac.uk/for-business/incubation-centre-facility-hire/),digital creative start-up,The Ideas Factory Norwich University of the Arts Cavendish House 28-32 St Andrews Street Norwich NR2 4AE,j.goldsmith@nua.ac.uk,,,52.6305235,1.29476373
,InTechnology Enterprise incubator,https://www.leeds.ac.uk/news/article/3668/young_entrepreneurs_get_a_chance_to_shine,* [InTechnology Enterprise incubator](https://www.leeds.ac.uk/news/article/3668/young_entrepreneurs_get_a_chance_to_shine),IN Technology,University of Leeds; Leeds; LS2 9JT; UK,contact on web page,,,53.80728,-1.55229
,Marine Robotics Innovation Centre Hub,https://noc-innovations.co.uk/marine-robotics-innovation-centre,* [Marine Robotics Innovation Centre Hub](https://noc-innovations.co.uk/marine-robotics-innovation-centre),Marine Robotics,European Way; Southampton  SO14 3ZH,innovationcentre@​noc‑innovations.co.uk,,,50.8935508,-1.3934694
,Rothamsted Centre for Research and Enterprise,https://www.rothamstedenterprises.com/,* [Rothamsted Centre for Research and Enterprise](https://www.rothamstedenterprises.com/),,Harpenden; Hertfordshire; AL5 2JQ,info@rothamstedenterprises.com,,,51.8094,-0.35446
,The BioHub Birmingham,https://www.birminghamresearchpark.co.uk/biohub/,* [The BioHub Birmingham](https://www.birminghamresearchpark.co.uk/biohub/),biomedical,University of Birmingham Enterprise Vincent Drive;Birmingham B15 2SQ,brpl@bham.ac.uk ,,,52.45369,-1.93251
,The Ingenuity Lab,https://www.nottingham.ac.uk/business/businesscentres/hgi/ingenuity-lab/about-the-ingenuity-lab.aspx,* [The Ingenuity Lab](https://www.nottingham.ac.uk/business/businesscentres/hgi/ingenuity-lab/about-the-ingenuity-lab.aspx),business start ups,Nottingham University Business School Jubilee Campus Nottingham NG8 1BB,business-enquiries@nottingham.ac.uk,,,52.95298,-1.18745
,UBC Leeds Digital Hub,https://leeds.tech/workspace/the-digital-hub/,* [UBC Leeds Digital Hub](https://leeds.tech/workspace/the-digital-hub/),digital business,No.1 Leeds 26 Whitehall Road Leeds,UBCLeeds@leedsbeckett.ac.uk,,,53.7934588,-1.5590626
,WB100,http://wosskowbrownfoundation.org.uk/,* [WB100](http://wosskowbrownfoundation.org.uk/),business start ups,Chippingham Pl; Sheffield S9 3SH,contact on web page,,,53.392575,-1.4329599
,BioData Innovation Centre,https://www.sanger.ac.uk/about/campus,* [BioData Innovation Centre](https://www.sanger.ac.uk/about/campus),science and medicine,Wellcome Genome Campus;Hinxton; Cambridgeshire; CB10 1SA,contact on web page,,,52.07926,0.18566997
,Canopy Exeter,https://www.exetersciencepark.co.uk/,* [Canopy Exeter](https://www.exetersciencepark.co.uk/),science and medicine,Science Park Centre; Babbage Way; Exeter Science Park; Clyst Honiton; Exeter; EX5 2FN,https://www.exetersciencepark.co.uk/,,,50.73164,-3.45641
,Future Space,https://www.futurespacebristol.co.uk/,* [Future Space](https://www.futurespacebristol.co.uk/),fintech,North Gate (UWE) Filton Road; Stoke Gifford Bristol; BS34 8RB,info@futurespacebristol.co.uk,,,51.50129,-2.55131
,Londoneast,https://www.londoneast-uk.com/,* [Londoneast](https://www.londoneast-uk.com/),science park,Yew Tree Avenue; Dagenham; RM10 7FN For Sat Nav: RM10 7XS, info@londoneast-uk.com,,,51.54606,0.16567997
,North East Space Incubation Programme,https://www.northeasttechnologypark.com/,* [North East Space Incubation Programme](https://www.northeasttechnologypark.com/),innovation tech,NETPark; North East Technology Park;Sedgefield; County Durham TS21 3FD,enquiries@northeasttechnologypark.com,,,54.67014,-1.45133
,OpTIC Space Industry Incubation Programme,http://www.glyndwrinnovations.co.uk/incubation/,* [OpTIC Space Industry Incubation Programme](http://www.glyndwrinnovations.co.uk/incubation/),spcae industry,The OpTIC Technology Centre Ffordd William Morgan St Asaph Business Park St Asaph LL17 0JD, opticreception@glyndwr.ac.uk,,,53.25576,-3.47579
,Roslin Innovation Centre,https://www.roslininnovationcentre.com/,* [Roslin Innovation Centre](https://www.roslininnovationcentre.com/),live stock and vet,The University of Edinburgh Easter Bush Campus Midlothian EH25 9RG,john.mackenzie@roslin.ed.ac.uk,,,55.8653851,-3.2025556
,Serendip,https://serendip.co/,* [Serendip](https://serendip.co/),NA,n/a,hello@serendip.co,,,65.70671,20.55877
,Space Incubator,https://www.lusep.co.uk/,* [Space Incubator](https://www.lusep.co.uk/),science park,Loughborough University Science and Enterprise Park; Loughborough; Leicestershire; LE11 3QF,contact on web page,,,52.76128,-1.24719
,The Tontine,https://www.tontineglasgow.co.uk/,* [The Tontine](https://www.tontineglasgow.co.uk/),fintech,Tontine Building; 20 Trongate; Glasgow; G1 5ES,contact on web page,,,55.857,-4.24414
,Ashton Old Baths Innovation Centre,https://www.ashtonoldbaths.co.uk/,* [Ashton Old Baths Innovation Centre](https://www.ashtonoldbaths.co.uk/),digital market,Stamford Street; West Ashton-under-Lyne; OL6 7FW Directions,info@ashtonoldbaths.co.uk,,,53.48485,-2.1014
,Aurora Cambridge,https://www.bas.ac.uk/science/science-and-innovation/aurora-cambridge/,* [Aurora Cambridge](https://www.bas.ac.uk/science/science-and-innovation/aurora-cambridge/),envoirmental tech,British Antarctic Survey High Cross Madingley Road CAMBRIDGE CB3 0ET,information@bas.ac.uk,,,52.21384,0.08059
,Charnwood Campus,http://charnwoodcampus.com/,* [Charnwood Campus](http://charnwoodcampus.com/),science park,Main Entrance Bakewell Road Loughborough LE11 5RB,contact on web page,,,52.78932,-1.22603
,The Spot Hive,https://www.sportingchanceinitiative.co.uk/the-sport-hive,* [The Spot Hive](https://www.sportingchanceinitiative.co.uk/the-sport-hive),SPORTS BUSINESS,n/a,contact on web page,,,65.70671,20.55877
,STEAMHouse,https://www.bcu.ac.uk/business/steam/steamhouse,* [STEAMHouse](https://www.bcu.ac.uk/business/steam/steamhouse),Steam,15 Bartholomew Row Birmingham B5 5JU,contact on web page,,,52.48191,-1.88889
,UBC Creative Fashion and Textile Hub,https://www.leedsbeckett.ac.uk/,* [UBC Creative Fashion and Textile Hub](https://www.leedsbeckett.ac.uk/),Edtech,Leeds Beckett University City Campus Leeds LS1 3HE,contact on web page,,,53.80333,-1.54827
,UNIT DX,https://sciencecreates.co.uk/,* [UNIT DX](https://sciencecreates.co.uk/),science and engineering,Unit DX;St Philips Central;Albert Road;Bristol BS2 0XJ,contact on web page,,,51.44688,-2.57401
,Guildhall Creative Entrepreneurs,https://www.gsmd.ac.uk/youth_adult_learning/creative_business_support/guildhall_creative_entrepreneurs/,* [Guildhall Creative Entrepreneurs](https://www.gsmd.ac.uk/youth_adult_learning/creative_business_support/guildhall_creative_entrepreneurs/),creative and arts,Silk Street; Barbican; EC2Y 8DT,contact on web page,,,51.52007,-0.09353
,C11 Cyber Security and Digital Centre,https://www.glos.ac.uk/business-and-partnerships/c11-cyber-security-and-digital-innovation-centre/,* [C11 Cyber Security and Digital Centre](https://www.glos.ac.uk/business-and-partnerships/c11-cyber-security-and-digital-innovation-centre/),digital security,University of Gloucestershire;The Park;Cheltenham;GL50 2RH.,contact on web page,,,51.88628,-2.09128
,Barclays Labs,https://labs.uk.barclays/,* [Barclays Labs](https://labs.uk.barclays/),startup business all type,Union; Albert Square; Manchester M2 6LW,contact on web page,,,53.47979,-2.24543
Pre-seed Accelerator,Founders Institute London,https://fi.co/overview,* [Founders Institute London](https://fi.co/overview),Various,n/a,contact on web page,Global pre-seed accelerator.,founding,65.70671,20.55877
,,,,,,,,,,
